country;code;region;cpi;dem;opec;fos;fragility;gdp;gini;lifeexp;oilexp;pop;rel;sigi;urb
Chile;CHL;AME;66;8.22;0;Democracy;42.2;25886.1;44.9;78.944;0;19603733;Christian;27.2;87.912
China;CHN;AP;42;1.94;0;Dictatorship;65.1;18187.8;37.1;78.211;57310;1412175000;Unaffiliated;27.1;63.56
Cote d'Ivoire;CIV;SSA;40;4.22;0;Hybrid Regime;87.1;5537.4;35.3;58.598;26700;28160542;Christian;17.3;52.661
Cameroon;CMR;SSA;27;2.56;0;Dictatorship;94;3723.5;42.2;60.333;96370;27914536;Christian;66.9;58.733
Congo, Dem. Rep.;COD;SSA;20;1.48;0;Dictatorship;107.2;1132.7;44.7;59.193;20000;99010212;Christian;46.9;46.837
Congo, Rep.;COG;SSA;22;2.79;1;Dictatorship;90.7;3670.2;NA;63.519;254100;5970424;Christian;NA;68.736
Colombia;COL;AME;40;6.72;0;Democracy;78.1;15616.8;53.5;72.83;726700;51874024;Christian;23.5;82.05
Comoros;COM;SSA;20;3.2;0;Hybrid Regime;82.2;3245.8;45.3;63.417;0;836774;Muslim;54.7;29.864
Cabo Verde;CPV;SSA;64;7.65;0;Democracy;60.1;7379.2;NA;74.052;0;593149;Christian;NA;67.545
Costa Rica;CRI;AME;55;8.29;0;Democracy;40.4;22070.9;49.2;77.023;0;5180829;Christian;10.9;82.042
Cuba;CUB;AME;42;2.65;0;Dictatorship;59.5;NA;NA;73.683;0;11212191;Christian;NA;77.401
Curacao;CUW;NA;NA;NA;NA;NA;NA;23115;NA;NA;0;149996;Christian;NA;89.025
Cayman Islands;CYM;NA;NA;NA;NA;NA;NA;71353.9;NA;NA;0;68706;Christian;NA;100
Cyprus;CYP;WE/EU;53;7.38;0;Democracy;57;44996.3;31.7;81.203;0;1251488;Christian;NA;66.911
Czechia;CZE;WE/EU;57;7.97;0;Democracy;40.2;41052.3;26.2;77.37317073170733;446;10672118;Unaffiliated;15;74.377
Germany;DEU;WE/EU;78;8.8;0;Democracy;24.6;53969.6;31.7;80.9009756097561;6569;83797985;Christian;12.4;77.648
Djibouti;DJI;SSA;30;2.74;0;Dictatorship;82.2;4989.4;NA;62.305;0;1120849;Muslim;NA;78.38
Dominica;DMA;AME;56;NA;NA;NA;NA;11463.6;NA;72.814;0;72737;Christian;NA;71.7
Denmark;DNK;WE/EU;90;9.28;0;Democracy;17.9;59935.1;27.5;81.40487804878049;82980;5903037;Christian;15.2;88.367
Dominican Republic;DOM;AME;35;6.39;0;Democracy;60.8;19338;39.6;72.615;0;11228821;Christian;14.8;83.848
Algeria;DZA;MENA;36;3.66;1;Hybrid Regime;70;11198.2;NA;76.377;756400;44903225;Muslim;NA;74.772
Ecuador;ECU;AME;34;5.69;0;Hybrid Regime;69.4;10859.2;47.3;73.67;383500;18001000;Christian;17;64.57
Egypt, Arab Rep.;EGY;MENA;35;2.93;0;Dictatorship;81.6;12780.8;31.9;70.221;246500;110990103;Muslim;56.1;42.967
Eritrea;ERI;SSA;21;2.03;0;Dictatorship;94.5;NA;NA;66.536;0;3684032;Christian;NA;42.625
Spain;ESP;WE/EU;60;8.07;0;Democracy;43.5;40223;34.9;83.1780487804878;0;47778340;Christian;9;81.304
Estonia;EST;WE/EU;76;7.96;0;Democracy;38.6;37711.8;30.7;76.74146341463415;0;1348840;Unaffiliated;13.1;69.609
Ethiopia;ETH;SSA;37;3.17;0;Hybrid Regime;100.4;2381.2;35;64.975;0;123379924;Christian;30.8;22.661
Finland;FIN;WE/EU;87;9.29;0;Democracy;16;49275.2;27.1;81.93414634146342;0;5556106;Christian;12.1;85.681
Fiji;FJI;AP;52;5.55;0;Hybrid Regime;70.2;12388.1;NA;67.114;0;929766;Christian;NA;58.229
France;FRA;WE/EU;71;8.07;0;Democracy;28.8;45904.4;30.7;82.32439024390244;0;67971311;Christian;10.1;81.509
Faroe Islands;FRO;NA;NA;NA;NA;NA;NA;NA;NA;83.49756097560977;0;53090;Christian;NA;42.779
Micronesia, Fed. Sts.;FSM;NA;NA;NA;NA;NA;NA;3263.7;NA;70.71;0;114164;NA;NA;23.217
Gabon;GAB;SSA;28;3.4;1;Hybrid Regime;65.5;13939.8;38;65.821;214200;2388992;Christian;32.2;90.735
United Kingdom;GBR;WE/EU;71;8.28;0;Democracy;41.9;47587.2;32.6;80.7;710600;66971395;Christian;12;84.398
Georgia;GEO;ECA;53;5.2;0;Hybrid Regime;71.9;17078.3;34.5;71.694;3006;3712502;Christian;27.6;60.297
Ghana;GHA;SSA;43;6.43;0;Democracy;62.3;5480.3;43.5;63.795;104000;33475870;Christian;38.2;58.615
Gibraltar;GIB;NA;NA;NA;NA;NA;NA;NA;NA;79.329;0;32649;Christian;NA;100
Guinea;GIN;SSA;26;2.32;0;Dictatorship;98.5;2699.1;34.8;58.892;0;13859341;Muslim;34;37.668
Gambia, The;GMB;SSA;37;4.47;0;Hybrid Regime;76.1;2113.6;38.8;62.083;0;2705992;Muslim;47.7;63.852
Guinea-Bissau;GNB;SSA;22;2.56;0;Dictatorship;89.9;1855.1;NA;59.652;0;2105566;Muslim;NA;45.041
Equatorial Guinea;GNQ;SSA;17;1.92;1;Dictatorship;84.4;14918.3;NA;60.594;308700;1674908;Christian;NA;74.01
Greece;GRC;WE/EU;49;7.97;0;Democracy;55.1;31704.4;33.6;80.1829268292683;3229;10426919;Christian;18.9;80.357
Grenada;GRD;AME;53;NA;NA;NA;53.7;14462.9;NA;74.936;0;125438;Christian;NA;36.868
Greenland;GRL;NA;NA;NA;NA;NA;NA;NA;NA;71.14756097560978;0;56661;Christian;NA;87.727
Guatemala;GTM;AME;23;4.68;0;Hybrid Regime;77.3;9162.1;48.3;69.237;9383;17357886;Christian;25.7;52.666
Guam;GUM;NA;NA;NA;NA;NA;NA;NA;NA;76.656;0;171774;Christian;NA;95.091
Guyana;GUY;AME;40;6.34;0;Democracy;61.6;35634.7;NA;65.673;0;808726;Christian;NA;27.022
Hong Kong SAR, China;HKG;AP;75;5.28;0;Hybrid Regime;NA;58478.9;51.8;85.49268292682929;0;7346100;Unaffiliated;25.9;100
Honduras;HND;AME;23;5.15;0;Hybrid Regime;79.6;5709.1;48.2;70.123;0;10432860;Christian;26;59.6
Croatia;HRV;WE/EU;50;6.5;0;Democracy;48.7;34302.3;29.5;76.42439024390245;0;3855600;Christian;16.9;58.219
Haiti;HTI;AME;17;2.81;0;Dictatorship;102.9;2799.1;41.1;63.192;0;11584996;Christian;46.4;58.82
Hungary;HUN;WE/EU;42;6.64;0;Democracy;48.8;35356.8;29.7;74.46585365853659;2713;9643048;Christian;15.2;72.552
Indonesia;IDN;AP;34;6.71;0;Democracy;65.6;12409.8;37.6;67.57;302300;275501339;Muslim;44.6;57.934
Isle of Man;IMN;NA;NA;NA;NA;NA;NA;NA;NA;80.525;NA;84519;Christian;NA;53.271
India;IND;AP;39;7.04;0;Democracy;74.1;7112;34.8;67.24;0;1417173173;Hindu;43;35.872
Ireland;IRL;WE/EU;77;9.13;0;Democracy;19.5;112445.4;29.2;82.10243902439025;5900;5127170;Christian;14.3;64.183
Iran, Islamic Rep.;IRN;MENA;24;1.96;1;Dictatorship;85.4;15461.1;41;73.875;750200;88550570;Muslim;62.9;76.807
Iraq;IRQ;MENA;23;3.13;1;Hybrid Regime;91.4;9199;31;70.378;3092000;44496122;Muslim;60;71.354
Iceland;ISL;WE/EU;72;9.52;0;Democracy;15.7;55567.4;NA;83.11707317073171;0;382003;Christian;NA;93.992
Israel;ISR;MENA;62;7.93;0;Democracy;44.1;44393.3;37.9;82.5;0;9557500;Jewish;31.6;92.763
Italy;ITA;WE/EU;56;7.69;0;Democracy;42.6;44292.2;35.2;82.79512195121951;13790;58940425;Christian;9.2;71.657
Jamaica;JAM;AME;44;7.13;0;Democracy;61.9;10107.9;40.2;70.5;0;2827377;Christian;18.4;57.008
Jordan;JOR;MENA;46;3.17;0;Hybrid Regime;75.7;9490.7;33.7;74.256;0;11285869;Muslim;58.5;91.827
Japan;JPN;AP;73;8.33;0;Democracy;30.5;41837.9;32.9;84.44560975609757;0;125124989;Unaffiliated;32.9;91.955
Kazakhstan;KAZ;ECA;39;3.08;0;Hybrid Regime;60.6;26093.3;29.2;70.23;1409000;19621972;Muslim;20.9;57.99
Kenya;KEN;SSA;31;5.05;0;Hybrid Regime;87.8;4881.5;36.2;61.427;0;54027487;Christian;32.9;29.002
Kyrgyz Republic;KGZ;ECA;26;3.62;0;Hybrid Regime;75.6;5070.2;29;71.9;0;6974900;Muslim;29.4;37.461
Cambodia;KHM;AP;22;3.18;0;Hybrid Regime;80.3;4533.9;58;69.584;0;16767842;Buddhist;21.7;25.114
Kiribati;KIR;NA;NA;NA;NA;NA;NA;2002.7;NA;67.417;0;131232;Christian;NA;57.058
St. Kitts and Nevis;KNA;NA;NA;NA;NA;NA;NA;28770.1;NA;71.682;0;47657;Christian;NA;30.991
Korea, Rep.;KOR;AP;63;8.03;0;Democracy;31.5;45560.1;31.4;83.52682926829269;0;51628117;Unaffiliated;19.8;81.427
Kuwait;KWT;MENA;46;3.83;1;Hybrid Regime;51.2;49400.4;NA;78.673;479700;4268873;Muslim;NA;100
Lao PDR;LAO;AP;28;1.77;0;Dictatorship;74.7;7947.7;38.8;68.061;0;7529475;Buddhist;25.1;37.592
Lebanon;LBN;MENA;24;3.64;0;Hybrid Regime;91.8;12986.9;31.8;75.047;0;5489739;Muslim;57.1;89.262
Liberia;LBR;SSA;25;5.43;0;Hybrid Regime;88.9;1460.9;35.3;60.747;0;5302681;Christian;38.3;53.065
Libya;LBY;MENA;18;2.06;1;Dictatorship;96.1;19796.6;NA;71.911;337800;6812341;Muslim;NA;81.302
St. Lucia;LCA;AME;55;NA;NA;NA;NA;15100.3;NA;71.111;0;179857;NA;NA;19.05
Liechtenstein;LIE;NA;NA;NA;NA;NA;NA;NA;NA;84.40243902439025;NA;39327;Christian;NA;14.538
Sri Lanka;LKA;AP;34;6.47;0;Democracy;90.3;12200.1;37.7;76.399;0;22181000;Buddhist;53.4;19.026
Lesotho;LSO;SSA;39;6.19;0;Democracy;76.3;2240.3;44.9;53.062;0;2305825;Christian;37.5;29.943
Lithuania;LTU;WE/EU;61;7.31;0;Democracy;39.4;39955.2;36;74.33902439024392;1002;2831639;Christian;12.3;68.465
Luxembourg;LUX;WE/EU;78;8.81;0;Democracy;19.5;117747;33.4;82.7487804878049;0;653103;Christian;NA;91.881
Latvia;LVA;WE/EU;60;7.37;0;Democracy;43.3;32992.4;35.7;73.2829268292683;0;1879383;Christian;12.8;68.54
Macao SAR, China;MAC;NA;NA;NA;NA;NA;NA;51840.1;NA;85.399;0;695168;Folk;NA;100
St. Martin (French part);MAF;NA;NA;NA;NA;NA;NA;NA;NA;80.379;NA;31791;NA;NA;NA
Morocco;MAR;MENA;38;5.04;0;Hybrid Regime;68.2;8083.4;39.5;74.042;0;37457971;Muslim;49.3;64.596
Monaco;MCO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36469;Christian;NA;100
Moldova;MDA;ECA;42;6.23;0;Democracy;67.4;13308.4;25.7;68.846;0;2538894;Christian;11;43.173
Madagascar;MDG;SSA;25;5.7;0;Hybrid Regime;81.7;1502.5;42.6;64.485;0;29611714;Christian;41;39.882
Maldives;MDV;AP;39;NA;NA;NA;62.9;21271.3;NA;79.918;0;523787;Muslim;NA;41.536
Mexico;MEX;AME;31;5.25;0;Hybrid Regime;69.8;20254.8;45.4;70.213;1214000;127504125;Christian;21.9;81.3
Marshall Islands;MHL;NA;NA;NA;NA;NA;NA;6004.3;NA;65.269;0;41569;Christian;NA;78.52
North Macedonia;MKD;ECA;42;6.1;0;Democracy;60.3;17128.8;33.5;74.53682926829269;NA;2057679;NA;22;59.118
Mali;MLI;SSA;28;3.23;0;Hybrid Regime;99.5;2132.6;35.7;58.941;0;22593590;Muslim;52.8;45.437
Malta;MLT;WE/EU;51;7.7;0;Democracy;33;48641.9;31.4;82.86097560975611;0;531113;Christian;19.4;94.875
Myanmar;MMR;AP;20;0.74;0;Dictatorship;100.2;4249.9;30.7;65.672;1824;54179306;Buddhist;47;31.771
Montenegro;MNE;ECA;46;6.45;0;Democracy;58;22108.7;34.3;73.82439024390244;0;617213;Christian;13;68.164
Mongolia;MNG;AP;33;6.35;0;Democracy;51.3;12073.2;31.4;70.975;14360;3398366;Buddhist;13.1;68.93
Northern Mariana Islands;MNP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49551;Christian;NA;91.983
Mozambique;MOZ;SSA;25;3.51;0;Hybrid Regime;94;1250.8;50.5;59.325;0;32969518;Christian;19.2;38.187
Mauritania;MRT;SSA;30;4.03;0;Hybrid Regime;87;5330.2;32;64.364;5333;4736139;Muslim;67.4;56.923
Mauritius;MUS;SSA;51;8.14;0;Democracy;38;22841.4;NA;73.68024390243903;0;1262523;Hindu;NA;40.81
Malawi;MWI;SSA;34;5.91;0;Hybrid Regime;83.2;1466.9;38.5;62.904;0;20405317;Christian;31.5;17.98
Malaysia;MYS;AP;50;7.3;0;Democracy;55;28383.6;40.7;74.884;326200;33938221;Muslim;61.7;78.214
North America;NAC;NA;NA;NA;NA;NA;NA;NA;NA;76.97672317115307;NA;372280991;NA;NA;82.94759786457108
Namibia;NAM;SSA;49;6.52;0;Democracy;60.3;9762.8;59.1;59.269;0;2567012;Christian;27.6;53.956
New Caledonia;NCL;NA;NA;NA;NA;NA;NA;NA;NA;79.12734146341464;0;269220;Christian;NA;72.325
Niger;NER;SSA;32;3.73;0;Hybrid Regime;93.4;1274.6;37.3;61.576;0;26207977;Muslim;60.1;16.894
Nigeria;NGA;SSA;25;4.23;1;Hybrid Regime;98;4963.2;35.1;52.676;2096000;218541212;Christian;42.4;53.521
Nicaragua;NIC;AME;17;2.5;0;Dictatorship;77.7;5822.4;46.2;73.837;0;6948392;Christian;21.2;59.556
Netherlands;NLD;WE/EU;79;9;0;Democracy;21;59249.2;26;81.4609756097561;7984;17700982;Christian;9.5;92.886
Norway;NOR;WE/EU;84;9.81;0;Democracy;14.5;67296.2;27.7;83.16341463414635;1383000;5457127;Christian;6.7;83.664
Nepal;NPL;AP;35;4.49;0;Hybrid Regime;80.2;4001.7;32.8;68.45;0;30547580;Hindu;30.6;21.451
Nauru;NRU;NA;NA;NA;NA;NA;NA;11024.3;NA;63.617;0;12668;Christian;NA;100
New Zealand;NZL;AP;85;9.61;0;Democracy;16.7;45185.3;32.5;82.20731707317074;26440;5124100;Christian;14;86.884
Oman;OMN;MENA;43;3.12;0;Hybrid Regime;48.7;35336.9;NA;72.541;844100;4576298;Muslim;NA;87.75
Pakistan;PAK;AP;29;4.13;0;Hybrid Regime;89.9;5377;30;66.098;13150;235824862;Muslim;59.7;37.731
Panama;PAN;AME;35;6.91;0;Democracy;48.7;33266.5;50.9;76.223;0;4408581;Christian;15.2;69.141
Peru;PER;AME;33;5.92;0;Hybrid Regime;73.1;12743.9;43.8;72.377;7995;34049588;Christian;18.6;78.708
Philippines;PHL;AP;34;6.73;0;Democracy;77.8;8581.9;40.7;69.266;16450;115559009;Christian;49.7;47.977
Palau;PLW;NA;NA;NA;NA;NA;NA;14112.7;NA;NA;NA;18055;Christian;NA;81.956
Papua New Guinea;PNG;AP;29;5.97;0;Hybrid Regime;78.1;3752.9;NA;65.351;55600;10142619;Christian;NA;13.582
Poland;POL;WE/EU;54;7.04;0;Democracy;45.2;37706.6;28.5;75.60243902439025;4451;36821749;Christian;18.5;60.134
Puerto Rico;PRI;NA;NA;NA;NA;NA;NA;34297.9;NA;80.162;0;3221789;Christian;NA;93.61
Korea, Dem. People's Rep.;PRK;AP;17;1.08;0;Dictatorship;87;NA;NA;73.284;0;26069416;Unaffiliated;NA;62.916
Portugal;PRT;WE/EU;61;7.95;0;Democracy;25.7;35767.7;34.7;81.07317073170732;0;10409704;Christian;9.5;67.381
Paraguay;PRY;AME;28;5.89;0;Hybrid Regime;63.7;13531.4;43.5;70.262;0;6780744;Christian;20.6;62.818
West Bank and Gaza;PSE;NA;NA;3.86;0;Hybrid Regime;87.9;5722.4;33.7;73.473;0;5043612;Muslim;51;77.291
French Polynesia;PYF;NA;NA;NA;NA;NA;NA;NA;NA;79.486;0;306279;Christian;NA;62.17
Qatar;QAT;MENA;58;3.65;0;Hybrid Regime;40.5;96557.8;41.1;79.272;1150000;2695122;Muslim;60.1;99.318
Romania;ROU;WE/EU;46;6.45;0;Democracy;53;32495.9;34.6;72.9609756097561;2076;19047009;Christian;15.7;54.489
Russian Federation;RUS;ECA;26;2.28;0;Dictatorship;80.7;27450.4;36;69.36121951219512;4921000;144236933;Christian;NA;75.126
Rwanda;RWA;SSA;53;3.1;0;Hybrid Regime;82.3;2364.8;43.7;66.072;0;13776698;Christian;19;17.721
South Asia;SAS;NA;NA;NA;NA;NA;NA;NA;NA;67.5791290463818;NA;1919348000;NA;NA;35.82499864951431
Saudi Arabia;SAU;MENA;52;2.08;1;Dictatorship;65.3;50188.3;45.9;76.936;7341000;36408820;Muslim;59.2;84.729
Sudan;SDN;SSA;20;2.47;0;Dictatorship;106.2;3570.6;34.2;65.267;19540;46874204;Muslim;64.6;35.956
Senegal;SEN;SSA;43;5.72;0;Hybrid Regime;71.5;3564.6;38.3;67.093;0;17316449;Muslim;40.3;49.086
Singapore;SGP;AP;83;6.22;0;Democracy;25.5;108036.1;45.9;83.44146341463416;14780;5637022;Buddhist;45;100
Solomon Islands;SLB;AP;43;NA;NA;NA;79.6;2247.8;NA;70.348;0;724273;Christian;NA;25.584
Sierra Leone;SLE;SSA;35;5.03;0;Hybrid Regime;81.4;1634.8;35.7;60.062;0;8605718;Muslim;47.8;43.831
El Salvador;SLV;AME;31;5.06;0;Hybrid Regime;69.3;9396;39;70.748;0;6336392;Christian;19.6;74.767
San Marino;SMR;NA;NA;NA;NA;NA;NA;61609;NA;NA;NA;33660;Christian;NA;97.732
Somalia;SOM;SSA;11;NA;0;NA;111.9;1448.6;36.8;55.28;0;17597511;Muslim;51.3;47.324
Serbia;SRB;ECA;36;6.33;0;Democracy;67.9;20885.9;35;72.73073170731709;123;6664449;Christian;14.7;56.873
South Sudan;SSD;SSA;13;NA;0;NA;108.5;NA;44.1;54.975;147300;10913164;Christian;38;20.846
Small states;SST;NA;NA;NA;NA;NA;NA;NA;NA;67.82243894387838;NA;43313523;NA;NA;60.07467490148516
Sao Tome and Principe;STP;SSA;45;NA;NA;NA;69.7;3438.9;NA;67.591;0;227380;Christian;NA;75.755
Suriname;SUR;AME;40;6.95;0;Democracy;59.7;15047.6;NA;70.274;0;618040;Christian;NA;66.307
Slovak Republic;SVK;WE/EU;54;7.07;0;Democracy;37.8;33176.2;24.1;74.71463414634147;1022;5431752;Christian;14.2;53.909
Slovenia;SVN;WE/EU;56;7.75;0;Democracy;27.3;41015.2;24;80.87560975609757;0;2111986;Christian;17.6;55.751
Sweden;SWE;WE/EU;82;9.39;0;Democracy;20.6;55359.3;28.9;83.15609756097562;14570;10486941;Christian;8.8;88.492
Eswatini;SWZ;SSA;30;3.01;0;Hybrid Regime;79.1;9058.6;NA;57.066;0;1201670;Christian;NA;24.576
Sint Maarten (Dutch part);SXM;NA;NA;NA;NA;NA;NA;41942.9;NA;73.972;0;42848;NA;NA;100
Seychelles;SYC;SSA;71;NA;NA;NA;53.3;25205.7;NA;73.39756097560975;0;119878;Christian;NA;58.396
Syrian Arab Republic;SYR;MENA;13;1.43;0;Dictatorship;107.1;NA;NA;72.063;0;22125249;Muslim;NA;56.769
Chad;TCD;SSA;20;1.67;0;Dictatorship;104.6;1412.7;37.4;52.525;70440;17723315;Muslim;45;24.063
Togo;TGO;SSA;31;2.99;0;Dictatorship;82.1;2202.7;42.5;61.619;0;8848699;Christian;36.8;43.921
Thailand;THA;AP;35;6.67;0;Democracy;68;17507.6;35;78.715;790;71697030;Buddhist;32.6;52.889
Tajikistan;TJK;ECA;20;1.94;0;Dictatorship;74.2;4137.3;34;71.594;0;9952787;Muslim;40;27.968
Turkmenistan;TKM;ECA;18;1.66;0;Dictatorship;64.5;14740;NA;69.264;67790;6430770;Muslim;NA;53.494
Timor-Leste;TLS;AP;43;7.06;0;Democracy;77.5;3943.1;NA;67.737;62060;1341296;Christian;NA;32.074
Tonga;TON;NA;NA;NA;NA;NA;NA;6143;NA;70.986;0;106858;Christian;NA;23.125
Trinidad and Tobago;TTO;AME;42;7.16;0;Democracy;52.9;23295.5;40.3;72.971;31030;1531044;Christian;25.3;53.34
Tunisia;TUN;MENA;40;5.51;0;Hybrid Regime;66.4;10569.1;32.8;73.772;39980;12356117;Muslim;46.5;70.214
Turkiye;TUR;ECA;34;4.35;0;Hybrid Regime;81.2;33149.5;41.9;76.032;0;84979913;Muslim;24;77.022
Tuvalu;TUV;NA;NA;NA;NA;NA;NA;4591.3;NA;64.547;0;11312;Christian;NA;65.527
Tanzania;TZA;SSA;40;5.1;0;Hybrid Regime;76.6;2623.9;40.5;66.201;0;65497748;Christian;49.6;36.682
Uganda;UGA;SSA;26;4.55;0;Hybrid Regime;91.5;2280.1;42.7;62.705;0;47249585;Christian;27.4;26.159
Ukraine;UKR;ECA;36;5.42;0;Hybrid Regime;95.9;10731.4;25.6;69.6478048780488;413;38000000;Christian;16.3;69.919
Uruguay;URY;AME;73;8.91;0;Democracy;34.4;24426.7;40.2;75.436;0;3422794;Christian;19.4;95.688
United States;USA;AME;69;7.85;0;Democracy;45.3;64623.1;39.7;76.32926829268293;1158000;333287557;Christian;19.1;83.084
Uzbekistan;UZB;ECA;33;2.12;0;Dictatorship;66.8;8073.2;NA;70.862;27000;35648100;Muslim;NA;50.466
St. Vincent and the Grenadines;VCT;AME;60;NA;0;NA;NA;14572.6;NA;69.629;0;103948;Christian;NA;53.875
Venezuela, RB;VEN;AME;13;2.23;1;Dictatorship;90.5;NA;39;70.554;1656000;28301696;Christian;16.5;88.378
British Virgin Islands;VGB;NA;NA;NA;0;NA;NA;NA;NA;74.494;0;31305;Christian;NA;49.331
Virgin Islands (U.S.);VIR;NA;NA;NA;0;NA;NA;NA;NA;80.06829268292682;NA;105413;Christian;NA;96.136
Viet Nam;VNM;AP;41;2.73;0;Dictatorship;58.3;11396.5;36.8;73.618;324600;98186856;Folk;24.5;38.766
Vanuatu;VUT;AP;48;NA;0;NA;NA;2785.9;NA;70.449;0;326740;Christian;NA;25.816
Samoa;WSM;NA;NA;NA;0;NA;65.1;5155.6;NA;72.767;0;222382;Christian;NA;17.616
Kosovo;XKX;NA;NA;NA;0;NA;NA;NA;NA;76.806;NA;1761985;NA;NA;NA
Yemen, Rep.;YEM;MENA;16;1.95;0;Dictatorship;108.9;NA;NA;63.753;8990;33696614;Muslim;NA;39.188
South Africa;ZAF;SSA;41;7.05;0;Democracy;72;13478.8;63;62.341;0;59893885;Christian;23;68.335
Zambia;ZMB;SSA;37;5.8;0;Hybrid Regime;81.8;3365.9;55.9;61.223;0;20017675;Christian;31.1;45.761
Zimbabwe;ZWE;SSA;24;2.92;0;Dictatorship;96.9;2208;50.3;59.253;0;16320537;Christian;19.3;32.395
